Order ID,Customer ID,Order Date,Cookies Shipped,Revenue,Rush Shipment
ORD-0131,CUST-033,2025-02-07,822,1016.45,No
ORD-0132,CUST-039,2025-01-14,74,3626.14,No
ORD-0133,CUST-013,2025-04-07,866,1439.82,Yes
ORD-0134,CUST-010,2024-12-15,848,170.36,Yes
ORD-0135,CUST-024,2025-05-02,530,3245.09,No
ORD-0136,CUST-049,2025-04-07,353,926.7,Yes
ORD-0137,CUST-011,2024-12-09,138,4705.27,No
ORD-0138,CUST-035,2025-04-27,657,4771.95,Yes
ORD-0139,CUST-050,2024-12-08,481,4578.58,No
ORD-0140,CUST-034,2025-01-19,72,1882.29,No
ORD-0141,CUST-001,2025-01-09,148,126.51,Yes
ORD-0142,CUST-039,2025-05-13,508,4645.18,Yes
ORD-0143,CUST-021,2024-12-05,602,2169.51,Yes
ORD-0144,CUST-032,2025-04-01,401,4834.94,Yes
ORD-0145,CUST-002,2024-12-31,684,4819.92,Yes
ORD-0146,CUST-008,2025-01-17,428,4272.4,No
ORD-0147,CUST-024,2024-12-26,298,1507.52,Yes
ORD-0148,CUST-020,2025-03-03,388,1956.23,No
ORD-0149,CUST-016,2025-04-10,782,4263.13,Yes
ORD-0150,CUST-004,2024-12-24,499,1618.76,Yes
ORD-0151,CUST-016,2025-03-21,240,888.99,No
ORD-0152,CUST-037,2025-01-13,50,2806.17,No
ORD-0153,CUST-006,2025-03-02,37,4683.97,Yes
ORD-0154,CUST-006,2025-04-16,144,3495.35,No
ORD-0155,CUST-047,2025-01-20,210,2871.8,Yes
ORD-0156,CUST-032,2025-04-29,849,531.02,Yes
ORD-0157,CUST-005,2025-02-11,789,3094.29,Yes
ORD-0158,CUST-049,2025-01-03,939,4950.77,No
ORD-0159,CUST-035,2025-03-29,42,743.42,No
ORD-0160,CUST-050,2025-03-29,57,2615.73,Yes
ORD-0161,CUST-009,2025-04-26,512,4393,Yes
ORD-0162,CUST-009,2025-04-20,416,3716.8,Yes
ORD-0163,CUST-043,2024-12-24,583,3500.23,Yes
ORD-0164,CUST-031,2025-05-02,737,3527.3,No
ORD-0165,CUST-036,2025-05-10,814,1829.48,Yes
ORD-0166,CUST-011,2025-01-02,108,1503.28,Yes
ORD-0167,CUST-017,2025-01-31,693,4056.34,No
ORD-0168,CUST-034,2024-12-22,881,4060.06,No
ORD-0169,CUST-039,2025-03-24,735,4342.01,Yes
ORD-0170,CUST-028,2024-12-06,996,4570.54,No
ORD-0171,CUST-014,2025-05-31,556,2581.14,Yes
ORD-0172,CUST-035,2025-01-31,970,2532.51,Yes
ORD-0173,CUST-049,2025-03-23,748,4001.56,No
ORD-0174,CUST-047,2025-04-12,622,3267.32,Yes
ORD-0175,CUST-045,2025-05-27,952,3524.74,No
ORD-0176,CUST-013,2025-02-12,471,3989.17,Yes
ORD-0177,CUST-046,2025-02-17,652,4455.53,Yes
ORD-0178,CUST-020,2025-06-02,778,1723.08,No
ORD-0179,CUST-026,2025-04-19,14,1909.14,No
ORD-0180,CUST-043,2025-01-09,227,515.21,No
ORD-0181,CUST-042,2024-12-16,512,2912.49,Yes
ORD-0182,CUST-024,2025-03-26,776,227.91,Yes
ORD-0183,CUST-029,2025-04-15,407,2354.71,Yes
ORD-0184,CUST-034,2025-05-12,880,2736.09,Yes
ORD-0185,CUST-029,2025-04-02,804,1468.38,No
ORD-0186,CUST-008,2025-01-18,402,2974.62,No
ORD-0187,CUST-016,2024-12-21,216,200.98,No
ORD-0188,CUST-015,2025-04-16,24,234.87,Yes
ORD-0189,CUST-005,2025-05-01,867,4121.87,No
ORD-0190,CUST-022,2025-01-29,563,1832.94,No
ORD-0191,CUST-002,2025-05-16,901,678.95,No
ORD-0192,CUST-038,2025-04-13,470,2635.1,No
ORD-0193,CUST-036,2025-03-28,700,3861.47,Yes
ORD-0194,CUST-015,2025-05-07,584,1118.31,Yes
ORD-0195,CUST-038,2024-12-25,873,3133.31,No
ORD-0196,CUST-015,2025-05-05,752,472.47,Yes
ORD-0197,CUST-001,2025-03-21,250,305.82,No
ORD-0198,CUST-005,2025-05-02,573,2680.21,Yes
ORD-0199,CUST-046,2024-12-09,105,2726.14,Yes
ORD-0200,CUST-041,2025-02-07,909,3205.28,No
