customer_id,step,age,region,recency_days,frequency,avg_monetary,action,donation,profit
6,2,55,south,165,3,15.654022331293119,0,0.0,0.0
6,3,55,south,187,3,35.26520679778221,0,0.7622022060793667,0.7622022060793667
6,4,55,south,216,3,17.69120945476023,0,26.315046597099485,26.315046597099485
7,0,69,south,126,5,1.0,0,0.0,0.0
7,1,69,south,148,5,1.0,0,0.0,0.0
7,2,69,south,168,5,7.071197449236385,0,0.0,0.0
7,3,69,south,203,5,7.226429245557094,0,40.08294808084038,40.08294808084038
7,4,69,south,224,5,1.0,0,0.0,0.0
7,5,69,south,249,5,1.0,0,0.0,0.0
7,6,69,south,288,5,15.827193151139316,0,0.0,0.0
8,0,18,south,311,9,102.55757001538537,0,0.0,0.0
8,1,18,south,331,9,110.9312920637696,0,0.0,0.0
8,2,18,south,361,9,107.16450449559314,0,35.54645041017006,35.54645041017006
8,3,18,south,398,9,125.75271244474513,0,0.0,0.0
9,0,40,east,87,9,68.21898399593962,0,7.046568052052964,7.046568052052964
9,1,40,east,114,9,65.02941410494367,0,0.0,0.0
9,2,40,east,146,9,58.20490476294386,0,0.0,0.0
9,3,40,east,174,9,41.2843806091643,0,0.0,0.0
10,0,73,north,205,7,33.878357906801476,0,0.0,0.0
10,1,73,north,243,8,44.16795681910036,0,0.0,0.0
10,2,73,north,272,8,55.95673415428214,0,0.0,0.0
10,3,73,north,310,8,58.73560183917778,0,0.0,0.0
10,4,73,north,349,8,80.00734240335393,0,0.0,0.0
10,5,73,north,376,8,75.11247448532654,0,0.0,0.0
10,6,73,north,400,8,59.93139473268996,0,0.0,0.0
10,7,73,north,422,8,55.319520601322736,0,0.0,0.0
10,8,73,north,449,8,64.73237534590345,0,0.0,0.0
11,0,22,north,229,4,29.770499402228843,0,0.0,0.0
11,1,22,north,249,4,37.421047862199025,0,0.0,0.0
11,2,22,north,273,4,29.131159524588924,0,0.0,0.0
11,3,22,north,306,4,32.5575393382812,0,0.0,0.0
11,4,22,north,345,4,31.29316370118486,0,0.0,0.0
11,5,22,north,365,4,20.629809232735404,0,0.0,0.0
11,6,22,north,397,4,40.050280196306744,0,0.0,0.0
11,7,22,north,433,4,35.96031386513488,0,0.0,0.0
11,8,22,north,469,4,31.21059029498823,0,0.0,0.0
12,0,39,north,205,2,15.477682266863786,1,0.0,-0.5
12,1,39,north,229,2,1.0,1,0.0,-0.5
12,2,39,north,255,2,11.078410604533419,1,0.0,-0.5
12,3,39,north,287,2,17.00927690227173,1,0.0,-0.5
12,4,39,north,314,2,8.009191204180121,1,0.0,-0.5
12,5,39,north,348,2,1.0,1,4.233824397735271,3.7338243977352708
12,6,39,north,373,2,1.0,1,0.0,-0.5
12,7,39,north,400,2,1.0,1,5.515131338607885,5.015131338607885
12,8,39,north,438,2,1.0,1,12.01737839455612,11.51737839455612
13,0,22,north,177,8,3.829195013787227,0,0.0,0.0
13,1,22,north,215,8,11.320353479796843,0,0.0,0.0
13,2,22,north,253,8,1.0,0,0.0,0.0
13,3,22,north,278,8,17.4829241825197,0,0.0,0.0
13,4,22,north,299,8,5.283140390184441,0,0.0,0.0
13,5,22,north,333,8,1.0,0,26.73018164294077,26.73018164294077
14,0,55,west,170,6,13.985424323023885,0,1.6369558472068344,1.6369558472068344
14,1,55,west,190,6,29.32632721606253,0,0.0,0.0
14,2,55,west,217,6,24.027186229725764,0,0.0,0.0
14,3,55,west,250,6,27.891994897393218,0,0.0,0.0
14,4,55,west,286,6,30.761128155513696,0,0.0,0.0
14,5,55,west,320,6,37.61362381725431,0,0.0,0.0
14,6,55,west,352,6,48.527797534930386,0,0.0,0.0
14,7,55,west,387,6,41.64231221029484,0,0.0,0.0
15,0,62,west,48,8,1.0,0,16.349632025505507,16.349632025505507
15,1,62,west,78,8,4.13599179586071,0,0.0,0.0
15,2,62,west,98,9,1.0,0,38.21808854534581,38.21808854534581
15,3,62,west,136,9,3.851125247535786,0,28.958816713829247,28.958816713829247
15,4,62,west,160,9,1.0,0,0.0,0.0
15,5,62,west,194,10,1.0,0,2.0519293675477246,2.0519293675477246
16,0,49,south,210,5,24.330182193046294,0,0.0,0.0
16,1,49,south,246,5,24.90542606878437,0,0.0,0.0
16,2,49,south,279,5,26.23152354270765,0,0.12490632735302222,0.12490632735302222
16,3,49,south,299,5,19.635922659984686,0,0.0,0.0
17,0,60,north,49,4,60.38164114095217,0,0.1672143949425684,0.1672143949425684
17,1,60,north,76,4,61.540409038107036,0,0.0,0.0
17,2,60,north,112,4,51.84982488440542,0,0.0,0.0
17,3,60,north,135,4,59.07068084461695,0,0.0,0.0
17,4,60,north,163,4,71.14650723258165,0,0.0,0.0
17,5,60,north,187,5,76.214919933876,0,0.0,0.0
17,6,60,north,225,5,69.56429606175509,0,0.0,0.0
17,7,60,north,257,5,85.69990472510852,0,0.0,0.0
18,0,63,east,312,1,25.332407727045563,1,0.0,-0.5
18,1,63,east,343,1,26.831746012027168,1,2.8155859578072686,2.3155859578072686
18,2,63,east,379,1,32.32817197003102,1,0.0,-0.5
18,3,63,east,404,2,49.08697253309878,1,0.0,-0.5
18,4,63,east,428,2,60.84897475481726,1,0.0,-0.5
18,5,63,east,453,2,56.48546356904691,1,0.0,-0.5
19,0,66,east,137,3,175.1357453597919,0,0.0,0.0
19,1,66,east,166,3,182.11983466027115,0,0.0,0.0
19,2,66,east,199,3,175.23570737663042,0,0.0,0.0
19,3,66,east,233,3,166.28320760477794,0,0.0,0.0
19,4,66,east,271,3,172.3319370303787,0,0.0,0.0
20,0,38,north,282,0,21.484886448097516,1,0.0,-0.5
20,1,38,north,303,0,18.2325194897721,1,0.0,-0.5
20,2,38,north,340,0,27.611537022206704,1,11.253322243972079,10.753322243972079
20,3,38,north,363,0,29.15299182674987,1,13.312455994371826,12.812455994371826
20,4,38,north,397,0,46.31339504787118,1,0.0,-0.5
20,5,38,north,423,0,59.39533068775833,1,0.0,-0.5
20,6,38,north,458,0,72.70163845136481,1,0.0,-0.5
21,0,70,north,339,4,179.81849395863884,0,0.0,0.0
21,1,70,north,359,4,181.71341062728592,0,0.0,0.0
21,2,70,north,398,4,182.84047789307635,0,0.0,0.0
21,3,70,north,435,4,188.72733344018448,0,0.0,0.0
21,4,70,north,464,4,202.05924046861682,0,0.0,0.0
21,5,70,north,503,4,196.37852859795186,0,0.0,0.0
21,6,70,north,539,4,185.6960651004372,0,0.0,0.0
21,7,70,north,567,4,191.37867673071506,0,0.0,0.0
22,0,33,north,229,6,26.782640514355492,0,0.0,0.0
22,1,33,north,257,7,32.63582081527835,0,0.0,0.0
22,2,33,north,282,8,21.16056672850628,0,0.0,0.0
22,3,33,north,318,8,21.859136695867726,0,0.0,0.0
22,4,33,north,339,8,26.64537286913269,0,0.0,0.0
22,5,33,north,370,8,32.46127089774458,0,0.0,0.0
23,0,20,east,160,5,9.14851234852113,0,0.0,0.0
23,1,20,east,185,6,16.423474268908596,0,0.0,0.0
23,2,20,east,215,6,40.06734627424535,0,3.250991720014292,3.250991720014292
23,3,20,east,240,6,32.535047977028796,0,0.0,0.0
23,4,20,east,277,6,19.90482193035911,0,0.0,0.0
23,5,20,east,299,7,19.65422048454313,0,0.0,0.0
23,6,20,east,330,7,12.291581141846414,0,0.0,0.0
23,7,20,east,352,7,16.0118340867281,0,0.0,0.0
23,8,20,east,380,7,12.87673231216151,0,0.0,0.0
24,0,73,south,362,5,31.62528586187659,0,0.0,0.0
24,1,73,south,386,5,18.30428882649869,0,0.0,0.0
24,2,73,south,416,5,43.3028038645276,0,0.0,0.0
24,3,73,south,453,6,35.87576300502019,0,0.0,0.0
24,4,73,south,479,6,33.53257575943252,0,0.0,0.0
24,5,73,south,515,6,18.71299119840397,0,0.0,0.0
24,6,73,south,543,7,43.09729909498005,0,0.0,0.0
24,7,73,south,577,7,50.04215960969475,0,0.0,0.0
24,8,73,south,611,8,58.95132711448166,0,0.0,0.0
25,0,49,west,48,4,53.18775796940177,0,4.839153982320806,4.839153982320806
25,1,49,west,71,4,48.9580596809842,0,9.737840394608751,9.737840394608751
25,2,49,west,101,4,37.665714660294704,0,0.0,0.0
25,3,49,west,130,4,35.15534010817428,0,0.0,0.0
25,4,49,west,164,5,42.88379406490336,0,0.0,0.0
25,5,49,west,190,5,37.6921514726471,0,0.9006490847888612,0.9006490847888612
25,6,49,west,222,5,32.69006858637602,0,32.823732943008956,32.823732943008956
25,7,49,west,243,5,42.65071814260687,0,0.0,0.0
26,0,29,east,374,5,76.36407882250998,0,0.0,0.0
26,1,29,east,397,5,45.52416710879798,0,2.1269513441219727,2.1269513441219727
26,2,29,east,427,5,44.64988079070527,0,0.0,0.0
26,3,29,east,465,5,39.369475281886956,0,0.0,0.0
26,4,29,east,498,5,37.9826458291385,0,0.0,0.0
27,0,60,south,330,1,79.32128920481219,1,41.95949459952488,41.45949459952488
27,1,60,south,355,1,91.88949752329583,1,0.0,-0.5
27,2,60,south,394,1,81.11477823576064,1,0.0,-0.5
27,3,60,south,429,2,75.50164220286926,1,0.0,-0.5
27,4,60,south,450,2,74.40961625004766,1,0.0,-0.5
27,5,60,south,481,2,66.37212269636466,1,0.0,-0.5
27,6,60,south,505,2,71.26753504586247,1,0.0,-0.5
28,0,20,north,103,9,46.50280974188415,0,0.0,0.0
28,1,20,north,136,9,72.23477702634926,0,0.0,0.0
28,2,20,north,161,9,76.55019711459178,0,0.0,0.0
28,3,20,north,188,9,80.73926321495705,0,0.0,0.0
28,4,20,north,227,10,63.53484010596148,0,0.0,0.0
28,5,20,north,254,10,63.434513578387644,0,0.0,0.0
28,6,20,north,285,10,54.97806929443534,0,0.0,0.0
29,0,25,south,91,9,93.54578407575482,0,2.7223974966519955,2.7223974966519955
29,1,25,south,129,9,91.86297197125994,0,0.0,0.0
29,2,25,south,162,9,91.02056393219542,0,0.0,0.0
29,3,25,south,199,9,108.63274784296979,0,0.0,0.0
29,4,25,south,220,9,103.53042162544003,0,0.0,0.0
29,5,25,south,253,9,93.98815651047242,0,0.0,0.0
29,6,25,south,275,9,89.37648480864233,0,0.0,0.0
29,7,25,south,301,10,80.94446092793771,0,0.9409400004115084,0.9409400004115084
30,0,37,east,174,1,3.2079382602520656,1,0.0,-0.5
30,1,37,east,212,1,1.0,1,0.0,-0.5
30,2,37,east,241,1,19.988175973307268,1,0.0,-0.5
30,3,37,east,270,1,13.319287509113922,1,0.0,-0.5
30,4,37,east,297,1,15.722117850154447,1,0.0,-0.5
30,5,37,east,325,1,18.42503937465681,1,0.0,-0.5
31,0,47,north,160,7,125.33782954643556,0,6.384990285298946,6.384990285298946
31,1,47,north,189,8,108.66093726495654,0,0.0,0.0
31,2,47,north,209,8,91.35104276673502,0,7.480919195325853,7.480919195325853
31,3,47,north,244,8,92.92567029071961,0,0.0,0.0
31,4,47,north,276,8,108.68067964914366,0,0.0,0.0
31,5,47,north,305,9,111.9863124146321,0,0.0,0.0
31,6,47,north,336,9,115.88547103807487,0,0.0,0.0
31,7,47,north,369,9,121.15610957375567,0,13.665782560832396,13.665782560832396
32,0,67,north,393,4,62.02556969915477,0,0.0,0.0
32,1,67,north,415,4,60.28183324860702,0,0.0437788607343576,0.0437788607343576
32,2,67,north,452,5,63.721368406464876,0,0.0,0.0
32,3,67,north,484,5,64.4319167497799,0,0.0,0.0
32,4,67,north,516,5,69.66534305412534,0,6.078726346524665,6.078726346524665
32,5,67,north,537,5,72.0529497714224,0,0.0,0.0
32,6,67,north,565,5,76.67483321565668,0,0.0,0.0
32,7,67,north,587,5,70.01958814202266,0,0.0,0.0
33,0,59,south,91,6,30.742846995133593,0,0.11356503470755215,0.11356503470755215
33,1,59,south,127,6,8.016669885590574,0,1.0415209229316438,1.0415209229316438
33,2,59,south,155,6,6.479279319872312,0,4.911139043186227,4.911139043186227
33,3,59,south,177,6,5.3549499494452,0,25.58507562295959,25.58507562295959
33,4,59,south,201,6,1.0,0,0.0,0.0
33,5,59,south,224,6,1.0,0,0.0,0.0
33,6,59,south,246,6,1.0,0,65.58887956675167,65.58887956675167
34,0,38,south,318,2,13.690142167395823,1,0.0,-0.5
34,1,38,south,348,2,10.109941141762402,1,0.0,-0.5
34,2,38,south,375,2,7.8295957589032295,1,0.0,-0.5
34,3,38,south,395,2,1.0,1,0.0,-0.5
34,4,38,south,417,2,1.0,1,0.0,-0.5
35,0,28,north,30,1,53.036582762044596,0,12.379518200666922,12.379518200666922
35,1,28,north,53,1,46.617512502549395,0,53.44241325094421,53.44241325094421
35,2,28,north,83,1,39.92545644790491,0,12.928908323904107,12.928908323904107
35,3,28,north,107,1,40.35796187688844,0,17.885216592644156,17.885216592644156
36,0,32,west,232,5,73.82455746842234,0,0.0,0.0
36,1,32,west,269,5,72.00104636456561,0,0.0,0.0
36,2,32,west,305,5,65.06013626551386,0,0.0,0.0
36,3,32,west,338,6,67.76028270368633,0,0.0,0.0
36,4,32,west,368,7,62.41604482523213,0,0.0,0.0
36,5,32,west,393,7,59.44702251859385,0,0.0,0.0
37,0,71,south,355,2,102.7623366082436,1,0.0,-0.5
37,1,71,south,378,2,87.37971601643162,1,0.0,-0.5
37,2,71,south,404,2,69.0348165868466,1,0.0,-0.5
37,3,71,south,427,3,65.84272420765242,0,0.0,0.0
37,4,71,south,463,3,57.76573080568091,0,0.0,0.0
37,5,71,south,493,3,45.00495728423741,0,0.0,0.0
38,0,36,north,226,1,44.90472271630581,1,6.647452799959624,6.147452799959624
38,1,36,north,249,1,46.49884275722061,1,0.0,-0.5
38,2,36,north,278,1,47.74111773681792,1,0.0,-0.5
38,3,36,north,300,1,59.564434204357774,1,0.0,-0.5
39,0,43,south,270,7,7.781487170973239,0,0.0,0.0
39,1,43,south,304,7,4.137915169311057,0,0.0,0.0
39,2,43,south,338,8,13.22662050520852,0,0.0,0.0
39,3,43,south,365,8,20.923071502189458,0,0.0,0.0
39,4,43,south,390,8,14.544663361099017,0,0.0,0.0
39,5,43,south,412,9,8.26839094886676,0,3.5180650916089777,3.5180650916089777
39,6,43,south,449,9,6.337014847303493,0,0.0,0.0
40,0,53,south,383,9,1.0,0,0.0,0.0
40,1,53,south,412,9,9.831369640793499,0,0.0,0.0
40,2,53,south,446,9,1.551915139200986,0,0.0,0.0
40,3,53,south,471,9,1.0,0,0.0,0.0
40,4,53,south,497,9,12.635181036820558,0,0.0,0.0
40,5,53,south,523,9,6.26155958811729,0,0.0,0.0
41,0,21,north,177,3,129.31930735763777,0,0.0,0.0
41,1,21,north,214,3,137.09801261086935,0,0.9085731240129026,0.9085731240129026
41,2,21,north,251,3,143.144668708683,0,0.0,0.0
41,3,21,north,282,3,152.78079853793622,0,0.0,0.0
41,4,21,north,310,3,160.59744995453582,0,0.0,0.0
41,5,21,north,347,3,160.97676346396395,0,0.0,0.0
41,6,21,north,378,3,172.16796323158923,0,0.0,0.0
41,7,21,north,405,3,178.3707367927662,0,0.0,0.0
41,8,21,north,433,3,175.77732044983912,0,0.0,0.0
42,0,21,east,368,5,39.8158226817326,0,0.0,0.0
42,1,21,east,400,5,52.90933242206351,0,0.0,0.0
42,2,21,east,426,5,67.190712521664,0,0.0,0.0
42,3,21,east,452,5,81.98542755154143,0,0.0,0.0
42,4,21,east,483,5,71.58810111911117,0,0.0,0.0
42,5,21,east,521,5,70.93255276837418,0,1.080440275785354,1.080440275785354
42,6,21,east,549,5,56.43476945973292,0,0.0,0.0
42,7,21,east,583,5,65.63189184667331,0,0.0,0.0
43,0,36,north,110,9,49.591432645502834,0,2.3709788036363064,2.3709788036363064
43,1,36,north,135,9,58.09748552841707,0,43.902707430616054,43.902707430616054
43,2,36,north,158,9,50.075991968042224,0,41.017344237314845,41.017344237314845
43,3,36,north,182,9,40.59538774447991,0,11.678149945205655,11.678149945205655
43,4,36,north,203,9,41.83166528926628,0,4.195946822209986,4.195946822209986
43,5,36,north,232,9,62.66390448348347,0,17.114787433106105,17.114787433106105
43,6,36,north,267,9,70.84480460533509,0,161.36927355295475,161.36927355295475
43,7,36,north,291,9,93.08277913364748,0,39.573101077106,39.573101077106
44,0,63,south,375,8,84.86501658135562,0,79.7430191659149,79.7430191659149
44,1,63,south,400,8,89.92689321476655,0,0.0,0.0
44,2,63,south,421,8,83.89629821410486,0,0.0,0.0
44,3,63,south,454,8,87.76911953199289,0,0.0,0.0
44,4,63,south,492,8,83.32208174349257,0,15.23368759749203,15.23368759749203
44,5,63,south,525,8,86.8221731095647,0,10.380172587898524,10.380172587898524
44,6,63,south,550,8,82.2714376515873,0,0.0,0.0
44,7,63,south,576,8,84.8328885235756,0,0.0,0.0
44,8,63,south,598,8,73.6552164296794,0,0.0,0.0
45,0,40,east,293,4,26.35705462556018,0,0.0,0.0
45,1,40,east,320,4,17.593787239305318,0,0.0,0.0
45,2,40,east,344,4,3.3416776300946722,0,0.0,0.0
45,3,40,east,380,4,7.468373459463836,0,0.0,0.0
46,0,41,north,100,7,22.064591987737842,0,0.0,0.0
46,1,41,north,130,8,28.47025424866975,0,0.0,0.0
46,2,41,north,155,8,28.843476738983938,0,0.0,0.0
46,3,41,north,191,8,31.05062464699652,0,0.0,0.0
46,4,41,north,228,8,25.363767191386437,0,0.0,0.0
47,0,62,west,74,2,18.891529287418926,0,0.0,0.0
47,1,62,west,94,2,10.332781638587182,0,2.5914681152169194,2.5914681152169194
47,2,62,west,131,2,18.35222757061939,1,0.29887232170709654,-0.20112767829290346
47,3,62,west,170,2,26.92928052450524,1,4.56553605048019,4.06553605048019
47,4,62,west,207,2,35.42976658520642,1,2.5691506647929416,2.0691506647929416
47,5,62,west,228,2,33.387494355242715,1,0.0,-0.5
47,6,62,west,253,2,42.62606636310713,1,0.0,-0.5
48,0,49,north,237,4,64.28090282697373,0,0.0,0.0
48,1,49,north,267,4,51.73650832442779,0,0.0,0.0
48,2,49,north,298,4,51.46450423489331,0,0.0,0.0
48,3,49,north,335,4,52.54280305757942,0,0.0,0.0
48,4,49,north,357,4,62.68238984602892,0,0.0,0.0
48,5,49,north,387,4,54.534763220276474,0,0.0,0.0
49,0,35,east,285,7,70.81896734516005,0,0.0,0.0
49,1,35,east,316,7,54.27953920368641,0,0.0,0.0
49,2,35,east,351,7,74.1901314681205,0,0.0,0.0
49,3,35,east,381,8,80.65708685618183,0,0.0,0.0
49,4,35,east,412,8,78.19659077431318,0,0.0,0.0
49,5,35,east,440,8,73.99085786553566,0,0.0,0.0
49,6,35,east,465,8,77.63074662642525,0,0.0,0.0
49,7,35,east,503,8,90.81384846397654,0,0.0,0.0
50,0,27,east,203,4,105.45035842876875,0,0.0,0.0
50,1,27,east,241,4,126.03128777551836,0,0.5038169311198749,0.5038169311198749
50,2,27,east,266,4,129.7154711983929,0,0.0,0.0
50,3,27,east,304,4,125.88276986935654,0,0.0,0.0
50,4,27,east,337,4,137.6265513847835,0,0.0,0.0
50,5,27,east,369,4,141.86297190151578,0,0.0,0.0
51,0,46,south,155,1,182.37628948152513,1,0.0,-0.5
51,1,46,south,175,1,184.46761930858924,1,0.0,-0.5
51,2,46,south,212,1,190.7122291012568,1,0.0,-0.5
51,3,46,south,251,1,183.30342085620356,1,0.0,-0.5
51,4,46,south,287,1,183.0703072991367,1,0.0,-0.5
51,5,46,south,318,1,178.31555244640805,1,0.0,-0.5
51,6,46,south,356,1,183.07911869517164,1,0.0,-0.5
51,7,46,south,380,1,187.79261966789235,1,0.0,-0.5
51,8,46,south,413,1,184.15832786263772,1,0.0,-0.5
52,0,69,east,369,3,2.529796071211017,0,0.0,0.0
52,1,69,east,408,3,9.033526459394345,0,0.0,0.0
52,2,69,east,442,3,14.50605059122465,0,0.0,0.0
52,3,69,east,472,4,7.3297337470085155,0,0.0,0.0
53,0,74,west,160,6,10.526682715561424,0,2.593629970231935,2.593629970231935
53,1,74,west,184,6,19.06555999158968,0,21.577582311589666,21.577582311589666
53,2,74,west,222,7,1.0,0,9.616130345845386,9.616130345845386
53,3,74,west,247,7,6.196271386465735,0,0.0,0.0
53,4,74,west,267,7,1.0,0,0.0,0.0
53,5,74,west,304,7,1.0,0,0.0,0.0
54,0,52,east,159,6,121.3876516817112,0,0.0,0.0
54,1,52,east,193,6,113.93534883471321,0,0.0,0.0
54,2,52,east,221,6,119.87266004720851,0,0.0,0.0
54,3,52,east,241,6,125.1992339933424,0,0.0,0.0
54,4,52,east,273,7,135.70882071876093,0,0.0,0.0
55,0,50,north,330,3,133.3848042876371,0,0.0,0.0
55,1,50,north,369,3,129.87073695400213,0,0.0,0.0
55,2,50,north,402,3,142.73075039546396,0,0.0,0.0
55,3,50,north,426,3,136.28933695747213,0,0.0,0.0
55,4,50,north,453,3,135.92481730776765,0,0.0,0.0
55,5,50,north,486,3,159.63870184802016,0,0.9160914667719868,0.9160914667719868
56,0,64,west,261,3,11.813646342496812,0,4.661926284537455,4.661926284537455
56,1,64,west,297,3,6.424892131915892,0,0.0,0.0
56,2,64,west,324,3,1.0,0,0.0,0.0
56,3,64,west,354,4,4.377838709827106,0,0.0,0.0
57,0,53,west,143,5,22.332821338719725,0,6.286499002380836,6.286499002380836
57,1,53,west,165,5,32.68347609849506,0,0.0,0.0
57,2,53,west,202,5,36.185647881443444,0,0.0,0.0
57,3,53,west,226,5,29.721207232951517,0,0.0,0.0
57,4,53,west,257,5,29.5662549286144,0,3.813057487477596,3.813057487477596
57,5,53,west,279,5,29.73741417212977,0,0.0,0.0
57,6,53,west,303,5,21.167554991217692,0,0.0,0.0
57,7,53,west,342,5,14.197654943305254,0,0.0,0.0
58,0,21,west,139,1,9.064173483410261,1,2.119307974863724,1.619307974863724
58,1,21,west,163,1,4.957447959573918,1,0.0,-0.5
58,2,21,west,191,1,1.0,1,0.0,-0.5
58,3,21,west,214,1,12.027238618843613,1,17.137601145303908,16.637601145303908
59,0,74,north,313,1,17.671343480822703,1,20.231925144666697,19.731925144666697
59,1,74,north,346,1,17.16041386572958,1,0.0,-0.5
59,2,74,north,381,1,23.666969656212103,1,0.0,-0.5
59,3,74,north,413,1,18.86596343755058,1,0.0,-0.5
59,4,74,north,446,1,9.631811471339372,1,0.0,-0.5
59,5,74,north,482,1,10.946704035285556,1,0.0,-0.5
59,6,74,north,518,1,1.0,1,0.0,-0.5
59,7,74,north,546,1,1.0,1,1.1489407509143537,0.6489407509143537
59,8,74,north,570,1,1.0,1,0.0,-0.5
60,0,28,east,187,9,48.48178193341275,0,0.0,0.0
60,1,28,east,208,9,33.53069524001474,0,0.0,0.0
60,2,28,east,245,9,43.484879877072885,0,0.0,0.0
60,3,28,east,274,9,55.716506342103926,0,0.0,0.0
60,4,28,east,307,10,58.90361915659673,0,0.0,0.0
60,5,28,east,330,10,68.19337185068807,0,0.0,0.0
61,0,73,north,172,5,53.137685210246964,0,0.0,0.0
61,1,73,north,201,5,41.455496866744895,0,0.0,0.0
61,2,73,north,222,5,37.841196807506876,0,12.832802694499428,12.832802694499428
61,3,73,north,255,5,44.27345236060987,0,1.2412288257904351,1.2412288257904351
61,4,73,north,290,5,52.93858169448931,0,0.0,0.0
61,5,73,north,317,5,48.953884983007754,0,17.0545685049418,17.0545685049418
62,0,73,south,216,9,69.93448179997269,0,0.0,0.0
62,1,73,south,252,9,59.28764754376157,0,0.0,0.0
62,2,73,south,291,10,42.67022219959149,0,0.0,0.0
62,3,73,south,329,10,33.52895647837593,0,1.6229516688537922,1.6229516688537922
62,4,73,south,357,10,51.44602542452853,0,0.0,0.0
62,5,73,south,396,10,50.69157611166606,0,0.0,0.0
62,6,73,south,425,10,55.483208496980765,0,0.0,0.0
62,7,73,south,464,10,46.54778701690103,0,0.0,0.0
62,8,73,south,496,10,33.05017728564749,0,0.0,0.0
63,0,66,north,83,8,31.326438341077125,0,77.75022543703784,77.75022543703784
63,1,66,north,111,8,30.00067078924325,0,9.421713953514013,9.421713953514013
63,2,66,north,131,8,40.37229111604589,0,191.24272106632824,191.24272106632824
63,3,66,north,152,8,23.21327621649958,0,171.49524116489513,171.49524116489513
63,4,66,north,189,8,16.42953810255025,0,15.60036558786471,15.60036558786471
63,5,66,north,220,8,24.27002458166914,0,76.95066420212369,76.95066420212369
63,6,66,north,257,9,17.63961173183997,0,26.578521629462003,26.578521629462003
64,0,28,north,347,9,47.75048949426349,0,0.0,0.0
64,1,28,north,381,9,46.385607113028165,0,0.0,0.0
64,2,28,north,416,9,41.6396395656085,0,0.0,0.0
64,3,28,north,449,9,60.902118644817094,0,0.0,0.0
64,4,28,north,479,9,59.04277963211833,0,0.0,0.0
65,0,37,east,159,3,41.87194358695753,0,0.0,0.0
65,1,37,east,181,3,39.848471387379924,0,0.0,0.0
65,2,37,east,215,3,35.26917728454293,0,0.0,0.0
65,3,37,east,238,4,27.284663829311057,0,0.1171766241493959,0.1171766241493959
66,0,32,south,368,6,159.68082257007953,0,0.0,0.0
66,1,32,south,400,6,162.5985153771733,0,0.0,0.0
66,2,32,south,435,6,144.690717329921,0,0.0,0.0
66,3,32,south,457,6,136.49179511345662,0,0.0,0.0
66,4,32,south,488,6,132.98732006183155,0,0.0,0.0
66,5,32,south,509,6,147.94952884207098,0,0.0,0.0
66,6,32,south,544,6,144.4490452384657,0,0.0,0.0
